,Protein IDs,Genus,KEGG_COG, HM454, HM455, HM466, HM503
740,MH0014_GL0040188,Ruminococcus,K00926,11944000,27862000,16712000,172570000
741,O2.UC7-0_GL0083102,Methanobrevibacter,K13942,0,187800000,0,0
742,N003A_GL0016608,Bacteroides,K01302,562320000,657070000,438170000,536510000
743,T2D-19A_GL0054411,Lachnoclostridium,K00850,0,0,0,25428000
744,763961826-stool1_revised_scaffold9657_1_gene53951,Faecalibacterium,K02469,316880000,344390000,145880000,11711000
745,MH0244_GL0124663,Faecalibacterium,K02469,13864000,3349100,15481000,0
746,NOM010_GL0028601,Faecalibacterium,K02469,61010000,9247200,6838600,87790000
747,O2.UC37-1_GL0025524,Faecalibacterium,K02469,9234100,30047000,7055100,0
748,411476.BACOVA_01172,Bacteroides,,8586100,12671000,0,52703000
749,MH0101_GL0041210,Bacteroides,K01787,0,0,158100000,22910000
750,MH0108_GL0105100,Sutterella,K13051,0,5774200,424280000,343420
751,ED14A_GL0038972,Bilophila,K03340,0,88651000,0,4436900
752,T2D-135A_GL0044937,Bacteroides,K08961,0,0,0,5109200
753,MH0006_GL0166646,Alistipes,K00948,67001000,90136000,8672900,0
754,763678604-stool2_revised_scaffold16449_1_gene48590,Ruminococcus,,0,328020000,0,5147700
755,MH0172_GL0013250,Ruminococcus,,0,470520000,0,4598400
756,763982056-stool1_revised_scaffold44915_1_gene33557,Clostridium,K03210,19272000,283290000,5606100,77741000
757,DLM004_GL0044713,Clostridium,COG0523,47915000,195020000,27550000,56136000
758,MH0345_GL0044089,Bacteroides,COG0673,183190000,89057000,131200000,0
759,T2D-135A_GL0117261,Bacteroides,COG0673,262800000,506400000,142450000,242450000
760,V1.UC12-4_GL0003982,Blautia,,1447200,0,4233400,0
761,N087A_GL0101723,Bacteroides,K07560,8737600,12458000,7665700,11782000
762,MH0092_GL0021022,Alistipes,K00528,7300200,53854000,6257700,0
763,O2.UC35-1_GL0149111,Bifidobacterium,K01854,3976800,62803000,0,0
764,MH0006_GL0146220,Alistipes,COG1729,124360000,152220000,21719000,4876600
765,MH0204_GL0078074,Faecalibacterium,K03526,6131600,0,9786800,0
766,MH0253_GL0138745,Faecalibacterium,K03526,27982000,4922000,0,0
767,MH0268_GL0178028,Faecalibacterium,K03526,332900000,498020000,183800000,0
768,NOM015_GL0048054,Faecalibacterium,K03526,7079600,0,0,0
769,O2.CD1-0-PT_GL0101211,Clostridium,K02111,22286000,510180000,195010000,141290000
770,MH0189_GL0139665,Prevotella,K13043,33664000,0,0,0
771,MH0244_GL0113842,Faecalibacterium,K00059,51058000,114400000,51121000,131880000
772,MH0287_GL0120844,Faecalibacterium,K00059,3968700,7073600,0,0
773,V1.UC49-1_GL0087099,Parabacteroides,K05879,184700000,0,17563000,0
774,BGI-33A_GL0054298,Bacteroides,K00602,7653700,0,84317000,34270000
775,MH0227_GL0064525,Faecalibacterium,K03046,0,32688000,0,0
776,MH0227_GL0103766,Faecalibacterium,K03046,173940000,112910000,26454000,15476000
777,NOM002_GL0077189,Faecalibacterium,K03046,0,13301000,0,7266700
778,DLM023_GL0049521,Faecalibacterium,K03046,2571300,0,19878000,0
779,MH0212_GL0133059,Faecalibacterium,K03046,10702000,0,0,0
780,MH0227_GL0000015,Faecalibacterium,K03046,0,0,0,0
781,MH0302_GL0050236,Faecalibacterium,K03046,47563000,104950000,13076000,0
782,MH0350_GL0083221,Faecalibacterium,K03046,0,0,10696000,0
783,O2.UC46-1_GL0085993,Faecalibacterium,K03046,2295100000,2480400000,1111300000,309250000
784,N021A_GL0076942,Parabacteroides,K03585,647100000,39694000,129780000,48294000
785,V1.FI37_GL0187210,Parabacteroides,K01785,197740000,194670000,17411000,15192000
786,T2D-142A_GL0112439,Bacteroides,K01808,226350000,235470000,62845000,66839000
787,MH0393_GL0131157,Collinsella,COG0264,11792000,0,10749000,0
788,MH0065_GL0013892,Prevotella,K03561,2284500000,0,52485000,1381600
789,O2.UC30-2_GL0146721,Phascolarctobacterium,K02825,0,0,13601000,0
790,MH0443_GL0011088,Collinsella,K02825,214610000,493800000,23926000,0
791,MH0002_GL0014846,Bacteroides,K21572,867190000,1267700000,393710000,2392500000
792,MH0159_GL0076822,Bacteroides,K21572,0,15007000,0,391750000
793,MH0108_GL0047493,Sutterella,K03387,124000000,0,99370000,4224100
794,765135172-stool1_revised_scaffold9088_1_gene81382,Faecalibacterium,K01733,0,4052500,0,0
795,MH0086_GL0083485,Faecalibacterium,K01733,18294000,18459000,0,0
796,MH0161_GL0151978,Faecalibacterium,K01733,24431000,0,9511000,0
797,MH0204_GL0148291,Faecalibacterium,K01733,3959600,0,14440000,0
798,MH0276_GL0235701,Faecalibacterium,K01733,40558000,163500000,30448000,0
799,O2.UC3-1_GL0063327,Faecalibacterium,K01733,0,0,0,0
800,O2.UC7-1_GL0128535,Marvinbryantia,COG0330,0,20420000,12222000,44025000
801,O2.UC17-0_GL0017640,Bacteroides,K01915,0,17449000,12114000,385840000
802,O2.UC19-0_GL0034784,Bacteroides,K01915,4663900,0,13035000,137000000
803,MH0211_GL0090801,Sutterella,K05916,470610000,13715000,528010000,0
804,NOF010_GL0058578,Alistipes,K00425,0,25315000,0,0
805,O2.CD3-0-PT_GL0073841,Clostridium,K04077,0,3172300,0,10880000
806,MH0188_GL0180732,Collinsella,K25026,20306000,87610000,10830000,0
807,MH0106_GL0028543,Bacteroides,COG0841,10831000,16447000,206140000,773060000
808,MH0001_GL0010107,Prevotella,K03530,174890000,0,7635100,2460700
809,MH0002_GL0061843,Bacteroides,K01338,485580000,308310000,438240000,166510000
810,445972.ANACOL_00314,Anaerotruncus,,0,5005000,0,19972000
811,SZEY-24A_GL0019240,Faecalibacterium,K03210,0,0,37225000,0
812,V1.UC21-4_GL0117397,Faecalibacterium,K03210,6678700,3956900,0,0
813,MH0355_GL0126938,Parabacteroides,K01476,0,15840000,0,0
814,MH0060_GL0042268,Faecalibacterium,K00027,346140000,160530000,67027000,0
815,O2.UC43-0_GL0090633,Faecalibacterium,K00027,14389000,11360000,0,0
816,SZEY-63A_GL0026596,Faecalibacterium,K00027,10569000,0,0,0
817,763597684-stool1_revised_scaffold35654_1_gene148319,Bacteroides,K16066,37894000,23526000,19919000,0
818,N087A_GL0086864,Clostridium,K19955,28915000,196690000,55310000,65555000
819,MH0003_GL0104512,Bacteroides,K04079,4816400000,9919200000,4136700000,2203000000
820,T2D-135A_GL0080092,Bacteroides,K04079,150540000,39629000,0,0
821,158479027-stool1_revised_scaffold12303_2_gene40022,Bacteroides,K02123,11070000,207220000,0,19245000
822,MH0089_GL0030176,Phascolarctobacterium,K01847,53806000,3514200,1979900000,19442000
823,MH0188_GL0049245,Collinsella,K04567,143260000,330850000,38276000,22227000
824,MH0276_GL0049569,Faecalibacterium,COG4260,25317000,82056000,21385000,2886100
825,MH0410_GL0056809,Faecalibacterium,COG4260,24052000,5280200,16125000,0
826,DOM026_GL0013466,Faecalibacterium,K03615,75985000,0,32044000,0
827,MH0222_GL0117288,Faecalibacterium,K03615,102610000,155950000,27130000,0
828,MH0308_GL0050383,Faecalibacterium,K03615,917670000,991760000,173310000,12655000
829,T2D-29A_GL0076622,Faecalibacterium,K03615,3671000,65453000,0,0
830,MH0013_GL0038767,Bacteroides,,148880000,318700000,0,0
831,MH0370_GL0058043,Ruminiclostridium,K18332,0,16744000,0,42979000
832,V1.UC17-2_GL0062046,Ruminiclostridium,K18332,0,5838500,0,0
833,MH0003_GL0057758,Alistipes,K01284,0,26103000,0,4259200
834,MH0002_GL0016379,Bacteroides,K03046,13915000000,19372000000,8463400000,9166500000
835,MH0067_GL0066739,Bacteroides,K03046,8580900,5028000,1437500,132280000
836,T2D-135A_GL0059314,Bacteroides,K03046,188560000,367320000,242860000,269080000
837,V1.CD43-0_GL0089969,Bifidobacterium,K00854,14203000,120760000,0,0
838,V1.CD46-0_GL0137448,Coprococcus,K06923,0,44957000,0,3305500
839,MH0088_GL0004272,Blautia,K05305,123910000,0,136250000,13363000
840,MH0145_GL0032044,Blautia,K14138,86449000,38635000,0,0
841,V1.CD43-0_GL0086966,Bacteroides,K03495,67935000,38470000,72900000,42540000
842,MH0074_GL0018810,Bacteroides,COG4085,1658000,9578200,0,1493600000
843,159591683-stool2_revised_C275983_1_gene6821,Clostridium,K00688,3580500,87050000,31080000,14494000
844,MH0370_GL0054045,Oscillibacter,,0,0,0,11156000
845,MH0013_GL0028633,Bacteroides,,32119000,1943900,5244900,0
846,158802708-stool2_revised_scaffold10388_1_gene153697,Bacteroides,COG1388,5871100,0,15161000,0
847,763536994-stool3_revised_scaffold8831_1_gene6981,Bacteroides,COG1388,28296000,28509000,37819000,125240000
848,MH0019_GL0043917,Bacteroides,K02230,47131000,3872600,0,928540000
849,908612.HMPREF9720_1244,Alistipes,K00831,0,6137900,0,0
850,MH0142_GL0105733,Alistipes,K00831,86836000,379380000,28751000,0
851,MH0026_GL0011359,Bacteroides,COG1902,0,0,340480,38225000
852,MH0239_GL0069122,Oscillibacter,K02355,0,205230000,9996600,100560000
853,O2.CD3-0-PT_GL0086304,Oscillibacter,K02355,24564000,121870000,17345000,184740000
854,MH0188_GL0197789,Bifidobacterium,K02887,7435800,41432000,0,0
855,MH0041_GL0021336,Bacteroides,K05988,0,392090000,0,9293700
856,159510762-stool2_revised_scaffold19098_1_gene13648,Faecalibacterium,COG0523,384670000,546570000,114120000,0
857,MH0369_GL0109009,Faecalibacterium,COG0523,0,0,24144000,0
858,N084A_GL0066195,Faecalibacterium,COG0523,144060000,142660000,39214000,2658600
859,764062976-stool2_revised_scaffold28158_1_gene150097,Alistipes,K03585,4113400,0,0,0
860,MH0002_GL0031559,Alistipes,K03585,66030000,450950000,17989000,5062800
861,MH0006_GL0158628,Alistipes,K03585,0,2611300,0,0
862,DLM001_GL0031509,Alistipes,K03585,3532700,8972700,0,0
863,MH0246_GL0084367,Bacteroides,K06201,30010000,15275000,0,0
864,MH0026_GL0048590,Phascolarctobacterium,K09458,0,0,39595000,0
865,MH0001_GL0020459,Prevotella,K09458,769990000,0,20363000,0
866,MH0220_GL0007370,Alistipes,K02123,38725000,65880000,8549100,0
867,MH0433_GL0079729,Nitrosopumilus,K01006,1996700000,4014200000,15628000,197870000
868,MH0132_GL0042085,Prevotella,K01006,0,0,0,45020000
869,DLM019_GL0098947,Bacteroides,COG4198,37057000,0,12509000,46194000
870,MH0193_GL0174830,Butyricicoccus,K05808,57262000,16051000,3339500,0
871,763840445-stool2_revised_scaffold15294_1_gene136660,Alistipes,K03671,1176400000,2499200000,14267000,23968000
872,V1.FI06_GL0110211,Alistipes,,0,12214000,0,0
873,MH0108_GL0002388,Sutterella,K02073,21175000,0,38934000,5302600
874,MH0140_GL0029555,Bacteroides,COG4773,0,0,7377900,0
875,MH0188_GL0150191,Bacteroides,COG4773,221670000,22784000,9325300,6600700
876,N064A_GL0093661,Bacteroides,COG4773,34774000,19715000,72948000,2142600000
877,O2.UC31-0_GL0126308,Bacteroides,COG4773,0,0,6377200,0
878,SZEY-10A_GL0023346,Lachnoclostridium,K01295,0,0,0,14388000
879,T2D-19A_GL0043979,Lachnoclostridium,K01295,0,39355000,0,254050000
880,MH0089_GL0061142,Faecalibacterium,COG0491,0,7289000,0,0
881,O2.CD2-0_GL0065078,Collinsella,K03517,14496000,121660000,5337700,0
882,V1.FI10_GL0105621,Blautia,K05349,46229000,0,0,0
883,SZEY-07A_GL0086470,Bacteroides,K21572,11882000,62407000,4546900,1257400000
884,MH0243_GL0025138,Bacteroides,K21572,49791000,29410000,10714000,3672600000
885,SZEY-48A_GL0049102,Bacteroides,K21572,0,0,0,169760000
886,MH0087_GL0008142,Clostridium,K02863,25278000,64182000,43744000,25292000
887,N088A_GL0129002,Clostridium,K02863,267190000,751790000,460710000,160500000
888,MH0002_GL0018009,Alistipes,COG0457,55416000,156310000,82067000,2483900
889,MH0446_GL0208212,Bacteroides,K21572,6234000,412720000,766700000,654300000
890,O2.UC36-1_GL0082055,Bacteroides,K21572,0,0,478840000,0
891,MH0196_GL0084341,Alistipes,COG2885,37749000,75794000,0,0
892,N038A_GL0025201,Alistipes,COG2885,135660000,232170000,140730000,0
893,MH0006_GL0162795,Bacteroides,COG0778,0,5805900,0,11264000
894,411485.FAEPRAM212_02137,Faecalibacterium,K01887,44558000,38304000,18815000,0
895,MH0302_GL0019301,Faecalibacterium,K01887,426740000,464080000,171700000,0
896,NLM031_GL0089485,Faecalibacterium,K01887,0,0,11609000,0
897,O2.UC22-1_GL0162488,Faecalibacterium,K01588,49519000,85260000,2726400,0
898,MH0191_GL0050449,Faecalibacterium,COG3679,7451900,139300000,105450000,3845900
899,V1.UC3-2_GL0000346,Faecalibacterium,COG3679,22915000,57787000,75434000,0
900,MH0079_GL0012208,Bacteroides,K21572,0,0,0,51561000
901,MH0364_GL0144338,Sutterella,K02926,435950000,43634000,473980000,18352000
902,V1.FI17_GL0091398,Desulfovibrio,K02904,0,0,66005000,0
903,MH0002_GL0008496,Subdoligranulum,COG2086,19344000,249750000,42706000,269040000
904,MH0365_GL0005208,Subdoligranulum,COG2086,115730000,397760000,26341000,76466000
905,MH0002_GL0065469,Bacteroides,K01818,12394000000,9909200000,8583800000,6351700000
906,MH0113_GL0029592,Bacteroides,K01818,1838100,0,0,152270000
907,MH0244_GL0113843,Faecalibacterium,K03086,15053000,10025000,7895500,0
908,O2.UC2-0_GL0056697,Blautia,K10200,44336000,9531500,4392100,0
909,DLM018_GL0063411,Faecalibacterium,K10200,824400000,205730000,78846000,47084000
910,MH0149_GL0030868,Faecalibacterium,K10200,33341000000,5997000000,1068300000,139240000
911,O2.UC5-2_GL0066429,Roseburia,K10200,266410000,21404000,0,0
912,MH0176_GL0128284,Faecalibacterium,K10200,0,15029000,0,31439000
913,MH0335_GL0008615,Faecalibacterium,K10200,7058700000,2164500000,353090000,40366000
914,NOF013_GL0043176,Faecalibacterium,K10200,1127600000,0,0,0
915,O2.UC40-1_GL0226411,Faecalibacterium,K10200,433570000,220260000,0,0
916,V1.UC22-1_GL0147851,Faecalibacterium,COG1595,0,5246700,3304700,0
917,MH0355_GL0079647,Catenibacterium,,15184000,0,0,0
918,MH0002_GL0059777,Bacteroides,COG0297,366140000,385570000,324730000,276190000
919,411464.DESPIG_00265,Desulfovibrio,COG1020,29444000,7813800,537950000,16033000
920,158742018-stool1_revised_scaffold3712_1_gene67793,Faecalibacterium,K02355,70429000,232390000,10138000,0
921,T2D-140A_GL0032453,Faecalibacterium,K02355,0,0,28837000,0
922,V1.UC26-4_GL0132638,Bacteroides,COG1629,0,7360600,111590000,8258900
923,MH0052_GL0018500,Bacteroides,COG1853,0,0,0,13472000
924,V1.UC54-0_GL0087316,Parabacteroides,K00738,1949100000,0,217350000,4011000
925,537013.CLOSTMETH_00593,Ruminiclostridium,K00262,5864200,17648000,0,0
926,V1.FI19_GL0053735,Paraprevotella,K00262,0,0,0,396570000
927,MH0006_GL0079690,Alistipes,K01874,84465000,218180000,48480000,0
928,MH0230_GL0019464,Phascolarctobacterium,K02433,0,0,54427000,0
929,MH0003_GL0074435,Bacteroides,K03770,1000200000,328820000,1004700000,4472500000
930,MH0188_GL0042462,Bacteroides,K03770,4104800,0,0,0
931,MH0109_GL0045883,Bacteroides,K03770,657610000,257150000,643070000,290660000
932,O2.CD1-0-PT_GL0003468,Bacteroides,K03770,416120000,327950000,322780000,4775700
933,MH0062_GL0012117,Fusicatenibacter,K25026,57423000,165710000,18643000,0
934,T2D-41A_GL0049902,Bacteroides,K21572,10649000,0,239510000,2466100
935,MH0002_GL0076888,Bacteroides,COG0457,38150000000,45829000000,23657000000,34098000000
936,MH0010_GL0001485,Bacteroides,COG0457,5920800,4515300,0,0
937,MH0055_GL0007075,Bacteroides,COG0457,22555000,46962000,8274800,24614000
938,411903.COLAER_02164,Collinsella,COG0228,234960000,570830000,50596000,0
939,MH0266_GL0116101,Bacteroides,COG0436,0,0,0,22295000
940,T2D-157A_GL0052007,Bacteroides,COG0436,7574200,0,7546400,19685000
941,MH0002_GL0024496,Bacteroides,COG4105,147430000,223440000,145060000,121580000
942,MH0004_GL0002420,Bacteroides,K21572,5842100,0,0,294680000
943,MH0287_GL0127759,Faecalibacterium,K20344,10041000,33951000,5315600,1804400
944,V1.UC5-0_GL0007453,Bacteroides,,692690000,9825600,882220000,18142000
945,MH0108_GL0011167,Parabacteroides,,25544000000,670350000,163970000,131650000
946,764062976-stool1_revised_scaffold5796_1_gene48270,Faecalibacterium,K02926,3503600000,3440500000,3173700000,109600000
947,861967750-stool1_revised_scaffold18559_1_gene6284,Faecalibacterium,K02926,282070000,44638000,35465000,3818900
948,O2.UC35-1_GL0126652,Faecalibacterium,K02926,31040000,68103000,52743000,0
949,MH0006_GL0140949,Alistipes,COG1629,2425900000,5249500000,684100000,2947600
950,457394.BSFG_01680,Bacteroides,COG1629,1899900000,2048000000,9105600000,29150000
951,MH0054_GL0057934,Bacteroides,K00948,0,0,0,8356800
952,O2.UC7-0_GL0066519,Bacteroides,K00948,34501000,22427000,42569000,19642000
953,160319967-stool1_revised_scaffold8303_1_gene70606,Bacteroides,K00948,522270000,184030000,629730000,475720000
954,MH0038_GL0034784,Bacteroides,K00948,1525600000,1295400000,1171100000,1472000000
955,MH0206_GL0224817,Bacteroides,K00948,0,14843000,11744000,27433000
956,MH0012_GL0191712,Bacteroides,COG0457,254770000,18465000,610920000,0
957,MH0150_GL0117865,Oscillibacter,K00615,0,4532100,0,2898400
958,MH0176_GL0152867,Oscillibacter,K00615,11878000,36030000,36358000,36650000
959,O2.UC8-2_GL0106576,Collinsella,COG0078,56187000,104290000,1689400,30175000
960,MH0158_GL0073096,Bacteroides,K02357,21839000,18069000,199550000,846580000
961,MH0192_GL0153108,Bacteroides,K02357,0,0,0,98727000
962,MH0055_GL0059790,Bacteroides,K02357,9940300,10158000,2705700,25982000
963,MH0250_GL0252399,Faecalibacterium,K09157,129160000,86670000,40279000,8579100
964,563192.HMPREF0179_03471,Bilophila,,18861000,662230000,0,17481000
965,O2.UC11-1_GL0037528,Bacteroides,,631100000,670850000,133790000,169940000
966,DOM005_GL0024379,Bacteroides,K03737,0,0,3961400,9819400
967,MH0003_GL0011127,Bacteroides,COG0760,0,5226100,0,54850000
968,MH0065_GL0039299,Faecalibacterium,COG3409,0,115300000,0,0
969,MH0004_GL0029120,Bacteroides,K02564,79103000,297450000,31206000,60262000
970,MH0006_GL0006387,Alistipes,K03654,32531000,76991000,2421500,16052000
971,MH0266_GL0039618,Alistipes,K03654,0,9294200,0,0
972,MH0054_GL0018188,Bacteroides,K00625,0,3183900,42583000,47594000
973,MH0052_GL0034327,Bacteroides,K00625,0,0,0,256130000
974,MH0435_GL0048101,Bacteroides,K00625,0,0,0,26176000
975,MH0113_GL0079522,Bacteroides,K00625,0,0,116900000,95976000
976,V1.CD20-0_GL0032392,Bacteroides,K00625,4853000000,2963900000,1567000000,1913600000
977,V1.CD49-0_GL0201620,Sutterella,K23997,31435000,5477900,2595800,39747000
978,MH0016_GL0054809,Parabacteroides,COG3063,906030000,2141600000,45393000,7946500
979,MH0050_GL0027297,Parabacteroides,COG3063,650960000,0,56609000,0
980,T2D-22A_GL0020271,Parabacteroides,COG3063,569240000,1662500000,24875000,0
981,V1.CD3-3-PN_GL0028280,Parabacteroides,COG3063,293070000,2099000000,0,2708400
982,V1.UC54-0_GL0227010,Parabacteroides,COG3063,4377300000,37432000,735120000,329640000
983,MH0020_GL0069512,Parabacteroides,K21572,588430000,6143200,183680000,14933000
984,159268001-stool2_revised_scaffold16596_1_gene15032,Bacteroides,COG4771,412730000,629540000,36460000,0
985,435590.BVU_0563,Bacteroides,K02014,15060000000,14883000000,4659000000,4016900000
986,MH0101_GL0075610,Bacteroides,K02014,35138000,0,777630000,211790000
987,MH0133_GL0011222,Bacteroides,K02014,0,0,0,15060000
988,V1.CD7-0_GL0074250,Bacteroides,K02014,354920000,120810000,42283000,233580000
989,457394.BSFG_01683,Bacteroides,K02014,505840000,0,0,1113100000
990,V1.CD36-0_GL0004648,Collinsella,K01883,15032000,86749000,0,0
991,483215.BACFIN_04796,Bacteroides,COG0457,249370000,0,113150000,0
992,MH0005_GL0009399,Prevotella,K02355,915830000,3808800,17690000,33117000
993,MH0205_GL0115805,Bacteroides,COG1433,93061000,54214000,17538000,2880900
994,V1.UC42-0_GL0010716,Bacteroides,COG1433,7231800,2723000,3127700,4131700
995,O2.UC22-1_GL0099304,Phascolarctobacterium,K23351,3342800000,15030000,286140000,4343000
996,V1.CD31-0_GL0110040,Collinsella,K02770,283720000,909920000,77038000,0
997,763577454-stool1_revised_scaffold28838_1_gene81617,Faecalibacterium,,22884000,40391000,0,2041200
998,O2.UC6-2_GL0090873,Dorea,K23351,13256000,16214000,112430000,0
999,MH0246_GL0087112,Oscillibacter,K12516,23481000,211140000,7812900,132650000
1000,MH0393_GL0082405,Akkermansia,K06204,0,0,23426000,0
1001,V1.FI01_GL0171743,Streptomyces,K06346,263510000,382650000,38333000,9142100
1002,158802708-stool2_revised_C949270_1_gene100191,Faecalibacterium,K02990,0,8378300,0,0
1003,O2.UC46-1_GL0121544,Faecalibacterium,K24042,0,38923000,0,0
1004,V1.CD1-0_GL0001594,Bacteroides,COG1524,170610000,183780000,79568000,122400000
1005,T2D-135A_GL0102554,Bacteroides,,17470000,17850000,8390100,6091700
1006,MH0006_GL0095825,Alistipes,K03616,2809500,17489000,0,0
1007,MH0006_GL0140922,Alistipes,K20265,0,44568000,0,0
1008,MH0013_GL0025133,Bacteroides,COG0457,24867000,6034600,12547000,0
1009,MH0003_GL0073585,Bacteroides,K01895,150330000,127740000,100620000,154380000
1010,V1.UC15-3_GL0117518,Fusicatenibacter,K01951,18792000,120730000,6209300,3959400
1011,SZEY-59A_GL0002881,Faecalibacterium,,22036000,5341000,0,3705700
1012,158337416-stool1_revised_C1261028_1_gene185699,Bacteroides,COG0457,112570000,42256000,70278000,1171200000
1013,MH0094_GL0080598,Bacteroides,COG0457,52985000,0,74600000,0
1014,SZEY-95A_GL0017165,Bacteroides,COG0457,0,0,0,56205000
1015,MH0108_GL0089922,Sutterella,K00024,86141000,0,51926000,0
1016,T2D-8A_GL0080112,Bacteroides,COG3250,12635000,138190000,10722000,58381000
1017,MH0092_GL0027317,Sutterella,K07335,128120000,11992000,228750000,2409500
1018,O2.UC32-1_GL0012707,Ruminococcus,K02986,42295000,102800000,0,0
1019,V1.CD41-0_GL0066512,Faecalibacterium,K06346,0,36326000,0,0
1020,MH0319_GL0024490,Prevotella,K03654,17594000,43157000,0,0
1021,V1.FI09_GL0086245,Prevotella,K03654,23752000,0,6539200,5977600
1022,MH0006_GL0005367,Alistipes,K01960,439110000,2274400000,166970000,9789500
1023,MH0426_GL0004158,Ruminococcus,K04072,1626800000,652150000,46087000,5397400
1024,MH0325_GL0092800,Bilophila,K03640,5982800,402270000,12441000,773820
1025,O2.UC19-0_GL0053987,Bacteroides,K01468,28002000,24355000,13875000,9977800
1026,MH0026_GL0059955,Bacteroides,COG1629,33287000,60335000,1605900,199350000
1027,O2.UC49-2_GL0089323,Alistipes,K01937,98750000,149680000,17607000,0
1028,MH0131_GL0172464,Desulfovibrio,COG2855,0,0,49242000,12718000
1029,MH0444_GL0010150,Oscillibacter,COG1404,25581000,1921800000,34198000,738260000
1030,MH0393_GL0093253,Oscillibacter,,0,7967900,0,23791000
1031,763860675-stool2_revised_C996562_1_gene106272,Coprobacter,,19286000,4944800,128000000,0
1032,T2D-135A_GL0113145,Faecalibacterium,K03431,70867000,38613000,0,0
1033,O2.UC13-1_GL0092652,Lachnoclostridium,K03431,0,0,9028500,0
1034,T2D-19A_GL0099352,Lachnoclostridium,K03431,0,0,0,28474000
1035,MH0322_GL0137745,Faecalibacterium,K03431,5899800,0,7549100,0
1036,O2.UC1-2_GL0018049,Dorea,K03431,0,0,26291000,0
1037,V1.CD20-4_GL0118463,Dorea,COG0464,27701000,24693000,108570000,13989000
1038,O2.UC40-0_GL0130413,Alistipes,COG0612,308580000,1019400000,88867000,28628000
1039,NLF014_GL0028659,Bacteroides,K01591,57208000,293750000,55559000,119900000
1040,MH0002_GL0051452,Alistipes,COG2825,0,76061000,0,0
1041,MH0399_GL0250198,Bacteroides,K01006,0,0,11317000,0
1042,MH0267_GL0057735,Bacteroides,K00895,2936300000,1416200000,2175800000,4335000000
1043,V1.UC38-4_GL0125107,Bacteroides,K00895,66238000,5096200,29944000,0
1044,O2.CD1-0_GL0040547,Collinsella,K02879,217120000,791010000,69824000,0
1045,V1.FI35_GL0108142,Collinsella,K02879,99602000,0,0,0
1046,MH0055_GL0011361,Bacteroides,COG4783,4033600,0,0,286000000
1047,MH0336_GL0049074,Coprococcus,K01738,23652000,9886000,0,0
1048,DLM011_GL0045884,Bacteroides,K01629,9346200,0,2440300,186050000
1049,MH0002_GL0038227,Alistipes,COG2885,3728300000,7711500000,1328500000,113230000
1050,V1.CD38-0_GL0049430,Bacteroides,K01588,333250000,409730000,126580000,74621000
1051,NLM027_GL0015212,Dorea,K00179,9390300,17826000,28736000,113410000
1052,MH0287_GL0058947,Faecalibacterium,K04759,223670000,467840000,163680000,0
1053,MH0119_GL0116660,Prevotella,K00615,1634300000,0,22131000,21600000
1054,O2.UC49-0_GL0151590,Prevotella,K00615,206720000,0,0,0
1055,O2.UC22-2_GL0085477,Dorea,K01639,0,2591600,13317000,0
1056,MH0010_GL0022945,Faecalibacterium,K03431,46000000,7619000,0,0
1057,V1.CD3-0-PN_GL0001277,Clostridium,K10117,0,14838000,0,17827000
1058,SZEY-66A_GL0060028,Bacteroides,K03628,196220000,272950000,143040000,482580000
1059,V1.UC42-0_GL0056281,Alistipes,,0,9725900,0,0
1060,MH0004_GL0012459,Bacteroides,COG0297,0,46495000,5198300,32066000
1061,MH0122_GL0001765,Faecalibacterium,COG5520,107030000,110310000,37323000,0
1062,MH0074_GL0042877,Clostridium,K05813,19086000,210200000,67962000,0
1063,V1.CD20-4_GL0089577,Clostridium,K05813,0,41523000,0,1130900
1064,N006A_GL0096572,Bacteroides,K03615,1645300000,1083600000,810710000,1381900000
1065,V1.UC32-0_GL0084132,Clostridium,K01604,13076000,69647000,172840000,0
1066,T2D-154A_GL0037753,Sutterella,K24119,1176300000,9031300,1427600000,0
1067,457398.HMPREF0326_00824,Desulfovibrio,K00031,0,3662400,29608000,0
1068,MH0227_GL0003913,Faecalibacterium,K01952,259540000,57609000,12768000,11462000
1069,MH0131_GL0074269,Collinsella,K00147,7281700,38484000,805910,3763100
1070,MH0161_GL0101371,Faecalibacterium,K03110,9817100,42746000,12159000,0
1071,MH0196_GL0076313,Alistipes,K00615,38942000,99229000,2980200,0
1072,MH0315_GL0177031,Alistipes,K00615,0,8778700,0,0
1073,MH0381_GL0115333,Bacteroides,COG0457,4677600,27472000,2182100,58970000
1074,T2D-8A_GL0038561,Parabacteroides,,17109000,247160000,0,0
1075,MH0006_GL0160801,Alistipes,K03687,25427000,58186000,4295600,0
1076,O2.UC30-1_GL0140207,Bacteroides,K01847,0,0,36039000,867640000
1077,V1.CD54-0_GL0112597,Butyricicoccus,K00134,138650000,4746600,25793000,35044000
1078,MH0434_GL0140389,Ruminococcus,K01206,53152000,49442000,3710200000,6192000
1079,MH0356_GL0115171,Collinsella,COG1288,0,9165400,0,0
1080,MH0203_GL0106173,Flavonifractor,K02926,0,19654000,0,0
1081,MH0004_GL0000853,Bacteroides,K18139,4189400,0,12452000,21301000
1082,MH0140_GL0117996,Bacteroides,K18139,0,0,0,9050400
1083,MH0362_GL0010735,Bacteroides,K18139,0,11755000,18835000,754450000
1084,MH0307_GL0035117,Bacteroides,K00798,2729000,8071200,21296000,50695000
